category,file,line
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,32
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,33
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,34
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,35
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,37
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,38
sensitive_projection,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,41
persistence,AISAM-BE/AISAM.API/Infrastructure/DevDataSeeder.cs,49
sensitive_projection,AISAM-BE/AISAM.API/Middleware/ActiveWorkspaceMiddleware.cs,148
sensitive_projection,AISAM-BE/AISAM.API/Middleware/ActiveWorkspaceMiddleware.cs,271
role_action,AISAM-BE/AISAM.API/Middleware/ResourceAccessMiddleware.cs,42
attribution,AISAM-BE/AISAM.API/Utils/ProfileContextHelper.cs,5
attribution,AISAM-BE/AISAM.API/Utils/ProfileContextHelper.cs,7
attribution,AISAM-BE/AISAM.API/Utils/WorkspaceLegacyProfileHelper.cs,9
attribution,AISAM-BE/AISAM.API/Utils/WorkspaceLegacyProfileHelper.cs,15
attribution,AISAM-BE/AISAM.API/Utils/WorkspaceLegacyProfileHelper.cs,17
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IAdCampaignService.cs,20
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IAdminService.cs,25
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICampaignInsightsSyncService.cs,3
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,13
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,14
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,15
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,16
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,22
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,28
sensitive_projection,AISAM-BE/AISAM.Services/IServices/ICreditService.cs,57
attribution,AISAM-BE/AISAM.Services/IServices/IDashboardService.cs,9
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,14
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,15
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,16
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,17
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,18
attribution,AISAM-BE/AISAM.Services/IServices/INotificationService.cs,19
attribution,AISAM-BE/AISAM.Services/IServices/IOAuthStateStore.cs,12
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IPostInsightsSyncService.cs,3
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IPostInsightsSyncService.cs,5
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IPostInsightsSyncService.cs,6
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IProviderService.cs,21
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IProviderService.cs,40
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IProviderService.cs,41
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,6
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,8
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,9
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,10
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,11
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IQuotaService.cs,12
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IWorkspaceMemberService.cs,21
sensitive_projection,AISAM-BE/AISAM.Services/IServices/IWorkspaceMemberService.cs,25
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,200
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,696
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,714
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,718
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,720
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,723
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,725
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,734
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,763
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,942
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,943
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,950
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,951
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1258
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1259
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1266
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1267
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1323
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1331
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1338
attribution,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1397
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1426
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1428
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1439
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1441
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1450
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdCampaignService.cs,1452
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminDashboardService.cs,164
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminDashboardService.cs,175
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,110
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,112
role_action,AISAM-BE/AISAM.Services/Service/AdminService.cs,195
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,260
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,261
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,335
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,336
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,353
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,354
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,358
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,359
sensitive_projection,AISAM-BE/AISAM.Services/Service/AdminService.cs,574
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,92
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,140
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,160
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,226
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,246
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,339
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,375
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,462
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,535
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,1044
attribution,AISAM-BE/AISAM.Services/Service/AIService.cs,1999
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,102
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,105
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,109
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,110
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,111
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,281
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,557
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,562
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,570
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,583
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,595
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,604
sensitive_projection,AISAM-BE/AISAM.Services/Service/AnalyticsService.cs,630
role_action,AISAM-BE/AISAM.Services/Service/AuthService.cs,222
sensitive_projection,AISAM-BE/AISAM.Services/Service/AuthService.cs,411
sensitive_projection,AISAM-BE/AISAM.Services/Service/AuthService.cs,417
persistence,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,44
attribution,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,88
persistence,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,90
attribution,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,108
attribution,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,145
persistence,AISAM-BE/AISAM.Services/Service/AutomationApprovalService.cs,186
attribution,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,23
sensitive_projection,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,26
persistence,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,29
sensitive_projection,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,40
persistence,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,53
sensitive_projection,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,61
persistence,AISAM-BE/AISAM.Services/Service/AutomationCreditService.cs,65
background,AISAM-BE/AISAM.Services/Service/AutomationGenerationBackgroundService.cs,8
background,AISAM-BE/AISAM.Services/Service/AutomationGenerationBackgroundService.cs,11
background,AISAM-BE/AISAM.Services/Service/AutomationGenerationBackgroundService.cs,13
attribution,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,69
attribution,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,76
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,84
attribution,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,107
attribution,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,109
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,136
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,146
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,153
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,178
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,200
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,214
persistence,AISAM-BE/AISAM.Services/Service/AutomationGenerationService.cs,280
background,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,11
background,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,14
background,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,16
attribution,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,65
persistence,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,76
attribution,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,81
persistence,AISAM-BE/AISAM.Services/Service/AutomationOperationsBackgroundService.cs,135
attribution,AISAM-BE/AISAM.Services/Service/AutomationService.cs,45
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,199
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,228
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,249
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,294
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,307
persistence,AISAM-BE/AISAM.Services/Service/AutomationService.cs,351
attribution,AISAM-BE/AISAM.Services/Service/BrandService.cs,77
attribution,AISAM-BE/AISAM.Services/Service/BrandService.cs,78
attribution,AISAM-BE/AISAM.Services/Service/BrandService.cs,83
attribution,AISAM-BE/AISAM.Services/Service/BrandService.cs,109
attribution,AISAM-BE/AISAM.Services/Service/BrandService.cs,306
background,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,8
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,8
background,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,11
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,11
background,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,13
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,13
background,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,15
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,15
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsBackgroundService.cs,38
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,9
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,19
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,21
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,28
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,43
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,54
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,60
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,65
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,66
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,67
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,83
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,94
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,98
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,100
sensitive_projection,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,103
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,124
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,125
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,126
attribution,AISAM-BE/AISAM.Services/Service/CampaignInsightsSyncService.cs,139
filter_bypass,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,15
filter_bypass,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,21
filter_bypass,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,37
filter_bypass,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,47
filter_bypass,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,50
role_action,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,55
attribution,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,66
persistence,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,73
background,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,77
background,AISAM-BE/AISAM.Services/Service/CollaborationAccessService.cs,81
filter_bypass,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,34
attribution,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,47
filter_bypass,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,85
attribution,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,87
filter_bypass,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,89
role_action,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,99
role_action,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,106
attribution,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,114
role_action,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,118
filter_bypass,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,121
role_action,AISAM-BE/AISAM.Services/Service/ContentAuthorizationService.cs,130
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,66
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,100
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,113
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,124
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,137
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,189
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,209
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,264
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,324
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,345
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,371
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,397
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,415
attribution,AISAM-BE/AISAM.Services/Service/ContentScheduleService.cs,457
sensitive_projection,AISAM-BE/AISAM.Services/Service/ContentService.cs,38
sensitive_projection,AISAM-BE/AISAM.Services/Service/ContentService.cs,54
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,93
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,131
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,234
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,381
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,388
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,399
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,434
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,442
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,467
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,481
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,537
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,569
sensitive_projection,AISAM-BE/AISAM.Services/Service/ContentService.cs,575
sensitive_projection,AISAM-BE/AISAM.Services/Service/ContentService.cs,576
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,593
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,677
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,795
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,873
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,891
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,949
attribution,AISAM-BE/AISAM.Services/Service/ContentService.cs,950
attribution,AISAM-BE/AISAM.Services/Service/ConversationService.cs,24
attribution,AISAM-BE/AISAM.Services/Service/ConversationService.cs,37
attribution,AISAM-BE/AISAM.Services/Service/ConversationService.cs,49
